id,price,sales_date,sales_amount
1,3087,14.08.2024,1722
2,2555,08.08.2024,3560
3,2034,25.09.2024,1325
4,1466,08.04.2024,1097
5,1001,11.06.2024,9
6,1512,21.08.2024,3132
7,3795,30.04.2024,1600
8,3029,25.10.2024,2105
9,3568,29.05.2024,337
10,1379,28.06.2024,1364
11,3599,11.10.2024,4828
12,4681,27.08.2024,1689
13,3296,04.07.2024,4057
14,1170,18.02.2024,475
15,2992,19.04.2024,2908
16,2283,08.06.2024,622
17,3041,17.11.2024,3909
18,4794,17.07.2024,4496
19,3022,26.08.2024,3006
20,3932,09.07.2024,3171
21,2318,02.09.2024,4490
22,4915,27.02.2024,423
23,4338,08.07.2024,2198
24,4886,14.06.2024,1988
25,2337,23.04.2024,3005
26,1745,28.02.2024,4396
27,2057,04.09.2024,2399
28,1448,06.04.2024,3488
29,4829,02.09.2024,1087
30,4595,14.02.2024,3020
31,513,14.11.2024,2811
32,4355,27.09.2024,766
33,3576,02.05.2024,4582
34,4881,04.05.2024,2195
35,3571,28.06.2024,2375
36,4607,01.02.2024,1053
37,2308,08.07.2024,278
38,2252,20.08.2024,1107
39,2201,22.08.2024,867
40,1564,02.05.2024,495
41,3604,16.10.2024,1061
42,564,31.10.2024,1577
43,2160,13.10.2024,1292
44,2861,19.10.2024,4187
45,4524,04.02.2024,1858
46,1510,03.06.2024,3389
47,3445,09.09.2024,1156
48,611,20.09.2024,3210
49,3601,20.05.2024,3385
50,675,23.11.2024,4718
51,2443,25.04.2024,751
52,716,28.07.2024,3603
53,1170,06.05.2024,2747
54,3414,20.11.2024,1883
55,2291,10.02.2024,1020
56,3650,11.06.2024,4457
57,4113,16.01.2024,4476
58,614,15.09.2024,2622
59,784,12.05.2024,2145
60,1083,20.01.2024,3958
61,1420,03.04.2024,2302
62,4232,08.05.2024,3424
63,3433,09.12.2024,1220
64,4513,15.11.2024,4964
65,2523,04.06.2024,51
66,1771,20.01.2024,2600
67,3700,10.12.2024,1408
68,4051,31.10.2024,4523
69,2663,31.10.2024,2529
70,1765,10.01.2024,3914
71,1545,09.02.2024,2790
72,4643,03.10.2024,4169
73,3368,17.03.2024,2238
74,2743,17.08.2024,4743
75,579,01.01.2024,3832
76,620,31.05.2024,1158
77,4619,14.12.2024,1487
78,3765,05.03.2024,2501
79,955,19.01.2024,1343
80,2429,09.10.2024,670
81,4894,18.07.2024,1047
82,1344,28.09.2024,4997
83,3557,11.08.2024,2629
84,808,13.03.2024,2601
85,4159,03.07.2024,3471
86,555,20.01.2024,3927
87,2063,03.09.2024,4701
88,562,02.10.2024,2713
89,2069,21.01.2024,2089
90,1263,23.11.2024,4506
91,2034,29.04.2024,968
92,4640,02.12.2024,1528
93,2617,19.06.2024,3811
94,2270,05.03.2024,147
95,1500,03.03.2024,644
96,571,06.05.2024,272
97,3876,26.08.2024,302
98,2302,20.12.2024,2655
99,4625,02.03.2024,4172
100,2978,26.11.2024,2134
101,4926,12.06.2024,3325
102,3172,11.10.2024,3993
103,4624,10.09.2024,3120
104,4804,05.09.2024,1561
105,4180,13.08.2024,2300
106,4186,23.07.2024,1995
107,1612,10.06.2024,1881
108,3697,08.09.2024,608
109,1063,04.06.2024,3826
110,4378,22.11.2024,2529
111,1900,18.09.2024,968
112,2408,27.07.2024,446
113,3438,07.07.2024,1757
114,1299,15.10.2024,303
115,1778,21.07.2024,4730
116,2336,30.03.2024,3514
117,4107,10.02.2024,4830
118,3135,19.01.2024,2415
119,2931,04.09.2024,390
120,2451,18.05.2024,3362
121,4434,21.02.2024,472
122,3830,03.09.2024,4427
123,4038,22.01.2024,1906
124,1800,29.11.2024,476
125,1623,27.12.2024,633
126,3471,30.03.2024,2607
127,528,05.07.2024,1987
128,865,29.02.2024,1551
129,4533,16.01.2024,469
130,2800,19.12.2024,3470
131,1723,25.08.2024,3091
132,2134,27.05.2024,2053
133,3451,02.03.2024,4604
134,610,11.01.2024,3740
135,3992,18.02.2024,1003
136,1222,11.12.2024,4272
137,1966,03.04.2024,1426
138,1955,21.09.2024,3712
139,4126,10.12.2024,2614
140,695,21.06.2024,1797
141,2362,01.05.2024,3136
142,2252,13.10.2024,4967
143,3342,13.03.2024,882
144,662,16.12.2024,4264
145,4092,13.05.2024,507
146,1292,14.06.2024,1848
147,2590,21.05.2024,4496
148,762,31.07.2024,2801
149,656,21.04.2024,3363
150,3593,02.11.2024,1541
151,792,26.09.2024,2585
152,2984,10.10.2024,3093
153,4772,27.06.2024,3371
154,1337,20.02.2024,4931
155,923,27.05.2024,3289
156,3446,28.07.2024,993
157,2867,03.05.2024,4564
158,4660,03.05.2024,1933
159,3260,21.03.2024,588
160,1881,28.03.2024,731
161,3615,28.03.2024,1878
162,1248,14.09.2024,2259
163,3132,20.10.2024,896
164,1357,09.12.2024,607
165,790,01.08.2024,1583
166,2170,17.03.2024,4355
167,3585,29.08.2024,4525
168,734,13.09.2024,3789
169,888,03.04.2024,2446
170,3550,29.04.2024,4628
171,1873,13.10.2024,2842
172,1444,22.11.2024,1562
173,3071,16.10.2024,2107
174,1339,20.07.2024,3798
175,2403,24.12.2024,1061
176,4887,05.03.2024,58
177,956,30.06.2024,2401
178,2875,07.10.2024,560
179,2878,09.03.2024,3478
180,3108,17.11.2024,39
181,1344,23.10.2024,3061
182,1849,02.10.2024,2433
183,3688,05.04.2024,3241
184,4058,23.11.2024,1439
185,2495,10.05.2024,2159
186,4173,26.07.2024,3406
187,2503,29.04.2024,3209
188,1087,20.07.2024,350
189,4989,18.05.2024,4697
190,3881,21.09.2024,3009
191,1890,08.11.2024,4911
192,876,15.06.2024,1627
193,1834,17.09.2024,3158
194,658,25.06.2024,80
195,1568,22.11.2024,194
196,2036,07.07.2024,4056
197,4393,07.02.2024,677
198,2186,04.10.2024,4617
199,3165,14.09.2024,667
200,809,31.10.2024,810
